cards,seed,SolverSolveTime,SolverNodes,SolverSolutionsFound,SavileRowTotalTime,optimization,option
4,13,0.000342,1,1,0.295,None,None
4,13,0.000342,1,1,0.295,None,allSolutions
4,27,0.001318,3,1,0.302,None,None
4,27,0.001599,5,3,0.312,None,allSolutions
4,33,0.001277,4,1,0.325,None,None
4,33,0.001659,4,8,0.364,None,allSolutions
5,0,0.004277,6,1,0.322,None,None
5,0,0.003757,22,2,0.358,None,allSolutions
5,30,0.004706,13,1,0.322,None,None
5,30,0.005399,20,1,0.388,None,allSolutions
5,44,0.0223,80,1,0.004778,None,None
5,44,0.003179,30,1,0.317,None,allSolutions
7,47,0.008801,42,1,0.001333,None,None
7,47,0.010804,289,16,0.486,None,allSolutions
8,47,0.018559,257,1,0.008457,None,None
8,47,0.086421,2326,62,0.505,None,allSolutions
9,0,0.048573,1042,1,0.035719,None,None
9,0,0.29881,8251,2,0.602,None,allSolutions
9,12,0.075066,1941,1,0.159656,None,None
9,12,0.407326,13017,338,0.668,None,allSolutions
9,16,0.21243,5892,1,0.388,None,None
9,16,0.254986,5819,36,0.652,None,allSolutions
9,21,0.352429,6641,1,0.611,None,None
9,21,0.270744,6829,12,0.624,None,allSolutions
9,40,0.033426,687,1,0.577,None,None
9,40,0.092765,2646,36,0.632,None,allSolutions
9,41,0.023034,244,1,0.74,None,None
9,41,0.02265,726,2,0.583,None,allSolutions
10,12,0.639905,17804,1,0.768,None,None
10,12,3.28121,109606,2338,0.612,None,allSolutions
10,16,0.087242,1985,1,0.856,None,None
10,16,1.77776,59111,5599,0.722,None,allSolutions
10,19,0.082181,1429,1,0.807,None,None
10,19,0.269336,7348,18,0.772,None,allSolutions
10,21,1.60838,40474,1,0.547,None,None
10,21,1.95006,49166,84,0.706,None,allSolutions
10,39,0.320675,7879,1,0.602,None,None
10,39,1.27367,35159,11,0.717,None,allSolutions
4,13,0.008839,1,1,0.193,O0,None
4,13,0.004639,1,1,0.211,O1,None
4,13,0.000249,1,1,0.272,O2,None
4,13,0.000236,1,1,0.312,O3,None
4,27,0.011573,5,1,0.18,O0,None
4,27,0.004572,3,1,0.235,O1,None
4,27,0.001932,3,1,0.365,O2,None
4,27,0.005879,3,1,0.328,O3,None
4,33,0.007485,5,1,0.186,O0,None
4,33,0.002843,4,1,0.214,O1,None
4,33,0.002152,4,1,0.343,O2,None
4,33,0.000164,5,1,0.657,O3,None
5,0,0.013021,7,1,0.249,O0,None
5,0,0.009165,6,1,0.352,O1,None
5,0,0.004145,6,1,0.409,O2,None
5,0,0.000203,7,1,1.93,O3,None
5,30,0.015298,27,1,0.22,O0,None
5,30,0.007376,13,1,0.286,O1,None
5,30,0.003179,13,1,0.402,O2,None
5,30,0.001255,25,1,2.869,O3,None
5,44,0.014966,80,1,0.294,O0,None
5,44,0.007018,29,1,0.264,O1,None
5,44,0.004823,29,1,0.418,O2,None
5,44,0.001914,80,1,2.151,O3,None
7,47,0.047527,345,1,0.33,O0,None
7,47,0.02123,42,1,0.331,O1,None
7,47,0.010768,42,1,0.575,O2,None
7,47,0.005396,81,1,3.109,O3,None
8,47,0.68032,7248,1,0.301,O0,None
8,47,0.033457,257,1,0.435,O1,None
8,47,0.022193,257,1,0.577,O2,None
8,47,0.01986,568,1,2.898,O3,None
9,0,11.2156,146539,1,0.382,O0,None
9,0,0.055395,1042,1,0.367,O1,None
9,0,0.05762,1042,1,0.739,O2,None
9,0,0.105355,2450,1,4.141,O3,None
9,12,6.94509,103798,1,0.475,O0,None
9,12,0.105751,1939,1,0.432,O1,None
9,12,0.059514,1939,1,0.575,O2,None
9,12,0.232101,5238,1,3.608,O3,None
9,16,7.68459,87079,1,0.271,O0,None
9,16,0.144574,3639,1,0.448,O1,None
9,16,0.167535,3639,1,0.61,O2,None
9,16,0.520856,12097,1,3.02,O3,None
9,21,45.2556,465308,1,0.393,O0,None
9,21,0.302845,6614,1,0.36,O1,None
9,21,0.284683,6614,1,0.59,O2,None
9,21,0.699894,18928,1,2.753,O3,None
9,40,4.25181,41340,1,0.403,O0,None
9,40,0.066648,687,1,0.564,O1,None
9,40,0.031909,687,1,0.57,O2,None
9,40,0.058611,1733,1,3.257,O3,None
9,41,0.813342,6170,1,0.834,O0,None
9,41,0.041325,244,1,0.363,O1,None
9,41,0.014016,244,1,0.37,O2,None
9,41,0.020169,559,1,2.921,O3,None
10,12,140.533,1776529,1,0.32,O0,None
10,12,0.637893,17804,1,0.539,O1,None
10,12,0.611584,17804,1,0.681,O2,None
10,12,2.32263,55613,1,3.993,O3,None
10,16,20.7799,209008,1,0.581,O0,None
10,16,0.089694,1985,1,0.491,O1,None
10,16,0.088353,1985,1,0.7,O2,None
10,16,0.291802,4910,1,3.765,O3,None
10,19,31.8841,369101,1,0.635,O0,None
10,19,0.076081,1429,1,0.379,O1,None
10,19,0.065344,1429,1,0.666,O2,None
10,19,0.134336,3842,1,3.335,O3,None
10,21,1574.47,14129850,1,0.326,O0,None
10,21,1.54844,40474,1,0.356,O1,None
10,21,1.82874,40474,1,0.652,O2,None
10,21,4.34134,116706,1,2.706,O3,None
10,39,154.451,1626207,1,0.0.37,O0,None
10,39,0.371039,7991,1,0.384,O1,None
10,39,0.336504,7879,1,0.751,O2,None
10,39,0.677851,21771,1,3.438,O3,None